"Time","Consumed for HISDU-Cluster","Host consumed % for HISDU-Cluster"
"2023-02-26T08:00:00.000Z",1289963010,70.32
"2023-02-26T10:00:00.000Z",1289807740,70.31
"2023-02-26T12:00:00.000Z",1289838850,70.31
"2023-02-26T14:00:00.000Z",1289846400,70.31
"2023-02-26T16:00:00.000Z",1290004350,70.32
"2023-02-26T18:00:00.000Z",1290401020,70.34
"2023-02-26T20:00:00.000Z",1290558210,70.35
"2023-02-26T22:00:00.000Z",1290312830,70.33
"2023-02-27T00:00:00.000Z",1290265730,70.33
"2023-02-27T02:00:00.000Z",1290247420,70.33
"2023-02-27T04:00:00.000Z",1290366460,70.34
"2023-02-27T06:00:00.000Z",1290452480,70.34
"2023-02-27T08:00:00.000Z",1290482560,70.34
"2023-02-27T10:00:00.000Z",1290390530,70.34
"2023-02-27T12:00:00.000Z",1290390780,70.34
"2023-02-27T14:00:00.000Z",1290372100,70.34
"2023-02-27T16:00:00.000Z",1290433660,70.34
"2023-02-27T18:00:00.000Z",1290810750,70.36
"2023-02-27T20:00:00.000Z",1290977790,70.37
"2023-02-27T22:00:00.000Z",1290784640,70.36
"2023-02-28T00:00:00.000Z",1291099780,70.38
"2023-02-28T02:00:00.000Z",1291382270,70.39
"2023-02-28T04:00:00.000Z",1291423740,70.4
"2023-02-28T06:00:00.000Z",1291475200,70.4
"2023-02-28T08:00:00.000Z",1291480580,70.4
"2023-02-28T10:00:00.000Z",1291472380,70.4
"2023-02-28T12:00:00.000Z",1291481730,70.4
"2023-02-28T14:00:00.000Z",1291534210,70.4
"2023-02-28T16:00:00.000Z",1291453570,70.4
"2023-02-28T18:00:00.000Z",1291665410,70.41
"2023-02-28T20:00:00.000Z",1291827330,70.42
"2023-02-28T22:00:00.000Z",1291888510,70.42
"2023-03-01T00:00:00.000Z",1291729280,70.41
"2023-03-01T02:00:00.000Z",1291671550,70.41
"2023-03-01T04:00:00.000Z",1291708930,70.41
"2023-03-01T06:00:00.000Z",1291716990,70.41
